date,Temp,temp500,temp700,temp850,temp925,dlwrf,mslp,P300,P500,P850,R500,R850,rhum,shum300,shum400,shum500,shum700,shum850,shum925,Tas,U500,U700,U850,U925,Uas,ulwrf,V500,V700,V850,V925,Vas,uswrf,dswrf,rainfall,clazz
1967-05-24,298.049987792969,269.130004882812,283,291.030029296875,294.850006103516,414.599853515625,100430,9690,5826,1455,70.760009765625,88.760009765625,87.7599945068359,0.00124400109052658,0.00172800198197365,0.00398500077426434,0.00944000110030174,0.0133150015026331,0.0149380005896091,298.460021972656,11.0300140380859,9.68000793457031,6.66000366210938,4.48001098632812,-1.97000122070312,445.300048828125,0.0800018310546875,0.0800018310546875,1.00001525878906,2.25001525878906,1.43000793457031,35.099853515625,246.599853515625,7.614,1
1967-05-25,298.279998779297,269.5,283.130004882812,291.929992675781,295.799987792969,413.599853515625,100315,9686,5822,1449,56.760009765625,79.010009765625,86.7599945068359,0.0013510026037693,0.00238500162959099,0.0032890010625124,0.00893000140786171,0.0125530008226633,0.0142500009387732,299.299987792969,10.260009765625,9.96000671386719,6.8800048828125,6.6300048828125,1.50999450683594,446.099853515625,1.58000183105469,2.16000366210938,1.73001098632812,2.010009765625,2.3800048828125,34.099853515625,233.099853515625,16.957,1
1967-05-26,297.679992675781,269.230010986328,283.210021972656,291.710021972656,295.280029296875,396.300048828125,100598,9698,5842,1472,45.5,74.010009765625,92.5099945068359,0.000676002353429794,0.00164300203323364,0.00258000195026398,0.00837300159037113,0.0116230007261038,0.0136730019003153,298.22998046875,7.21000671386719,4.03001403808594,1.18000793457031,0.780014038085938,-2.53999328613281,446.300048828125,-0.749984741210938,-1.06999206542969,-0.6199951171875,-0.689987182617188,-1.19000244140625,40.599853515625,282.300048828125,48.191,1
1967-05-27,297.660003662109,268.25,283.330017089844,292.179992675781,294.809997558594,405.800048828125,100818,9699,5850,1486,57.760009765625,61.510009765625,85.0099945068359,0.000773001462221146,0.00204500183463097,0.00304200127720833,0.00786800123751163,0.00994800217449665,0.0110530015081167,297.779998779297,10.0500030517578,5.28001403808594,2.93000793457031,0.980010986328125,-2.94000244140625,446.800048828125,0.410003662109375,0.160003662109375,-0.0399932861328125,-0.389999389648438,-0.8699951171875,38.099853515625,279.599853515625,10.291,1
1967-05-28,297.760009765625,268.330017089844,282.210021972656,291.100006103516,294.330017089844,417.800048828125,100815,9690,5837,1483,77.260009765625,82.760009765625,83.7599945068359,0.00116700306534767,0.00294100120663643,0.00409200228750706,0.00862300209701061,0.0124880019575357,0.0136000011116266,298.160003662109,9.60000610351562,6.03001403808594,3.48001098632812,1.58000183105469,-3.02000427246094,447.099853515625,0.150009155273438,0.530014038085938,-0.589996337890625,1.08000183105469,1.22999572753906,27.800048828125,195.099853515625,32.676,1
1967-05-29,298.580017089844,268.929992675781,282.660003662109,291.25,295.480010986328,423.099853515625,100680,9707,5845,1479,94.260009765625,78.760009765625,86.2599945068359,0.00118700042366982,0.00299500115215778,0.00522400066256523,0.00831800140440464,0.0119930021464825,0.0132830012589693,298.960021972656,9.05000305175781,8.73001098632812,4.93000793457031,2.61000061035156,-2.19000244140625,447.599853515625,-2.989990234375,0.3800048828125,3.16000366210938,4.6300048828125,4.27999877929688,25.599853515625,172.599853515625,3.085,1
1967-05-30,298.880004882812,268.600006103516,284.030029296875,292.030029296875,296,424.800048828125,100428,9699,5838,1460,89.760009765625,70.510009765625,85.5099945068359,0.00114200264215469,0.00282200239598751,0.00486500188708305,0.00844300165772438,0.0112830009311438,0.0124680008739233,299.580017089844,10.3300018310547,11.5500030517578,8.86000061035156,6.98001098632812,0.55999755859375,448.300048828125,-3.71998596191406,-0.589996337890625,1.83000183105469,3.03001403808594,3.19999694824219,23.300048828125,151.300048828125,0.03,1
1967-05-31,298.97998046875,268.880004882812,285.25,292.809997558594,296.580017089844,417.599853515625,100058,9682,5817,1429,75.010009765625,67.260009765625,88.2599945068359,0.00119300186634064,0.00218300148844719,0.00414400175213814,0.00729800201952457,0.0112880021333694,0.0132980011403561,300,11.8100128173828,10.0800018310547,9.28001403808594,9.66000366210938,5.21000671386719,448.599853515625,-2.31999206542969,1.06001281738281,1.93000793457031,3.010009765625,4.77999877929688,34.800048828125,243.800048828125,0.034,1
1967-06-01,298.059997558594,269.710021972656,283.809997558594,291.549987792969,294.980010986328,413.099853515625,100123,9675,5812,1431,72.510009765625,82.260009765625,95.5099945068359,0.00120100006461143,0.00180600211024284,0.00424900092184544,0.00858500227332115,0.0127430018037558,0.0146580021828413,298.580017089844,10.6000061035156,6.010009765625,1.75001525878906,0.230010986328125,-2.34999084472656,447.800048828125,-0.149993896484375,1.91000366210938,0.580001831054688,-0.189987182617188,-1.81999206542969,31.300048828125,210.099853515625,39.848,1
1967-06-02,297.97998046875,269.460021972656,284.410003662109,290.410003662109,294.030029296875,405.300048828125,100185,9679,5819,1434,57.760009765625,89.760009765625,88.5099945068359,0.000910002738237381,0.00169400125741959,0.00333700142800808,0.00898000225424767,0.0129400007426739,0.0152610018849373,298.72998046875,2.31001281738281,2.31001281738281,-0.519989013671875,-2.29998779296875,-4.66999816894531,447.599853515625,3.25001525878906,5.28001403808594,2.25001525878906,-0.019989013671875,-1.5,39.800048828125,279.099853515625,24.098,1
1967-06-03,298.279998779297,269.75,284.230010986328,291.400024414062,294.910003662109,414.300048828125,100045,9676,5808,1425,60.510009765625,88.510009765625,90.7599945068359,0.000840000808238983,0.00226500071585178,0.00357100181281567,0.00895300135016441,0.0136080011725426,0.0163760017603636,298.929992675781,2.41000366210938,1.16000366210938,0.830001831054688,0.160003662109375,-1.81999206542969,449.099853515625,2.81001281738281,5.16000366210938,3.73001098632812,2.18000793457031,1.58000183105469,35.800048828125,251.599853515625,10.764,1
1967-06-04,298.279998779297,269.460021972656,284.710021972656,291.109985351562,294.780029296875,415.099853515625,99875,9671,5797,1411,65.010009765625,95.260009765625,89.5099945068359,0.000765003263950348,0.00221600197255611,0.00375600159168243,0.00900000147521496,0.0143600013107061,0.0164600014686584,299.25,0.0800018310546875,1.45001220703125,1.1300048828125,0.710006713867188,-1.22000122070312,449.599853515625,-0.089996337890625,1.3800048828125,-0.0399932861328125,-0.79998779296875,-3.80000305175781,33.800048828125,230.800048828125,5.45,1
1967-06-05,298.109985351562,268.650024414062,283.960021972656,291.549987792969,294.630004882812,417.300048828125,99795,9658,5779,1402,83.010009765625,93.760009765625,92.5099945068359,0.00130899995565414,0.00260800123214722,0.00450700148940086,0.00949500128626823,0.0145700015127659,0.0167030021548271,298.72998046875,2.73001098632812,-2.31999206542969,-2.31999206542969,-4.06999206542969,-5.13999938964844,449.300048828125,5.06001281738281,1.93000793457031,1.46000671386719,0.150009155273438,-3.09999084472656,35.099853515625,248.599853515625,14.013,1
